Pair,Trade Type,Entry Date,Entry Price Asset 1,Entry Price Asset 2,Shares Asset 1,Shares Asset 2,Exit Date,Exit Price Asset 1,Exit Price Asset 2,Exit Reason,Trade P&L
UPS-AAPL,Short,2023-08-07,165.09632873535156,177.07705688476562,-0.6057069879506491,0.41269596446149814,2023-08-16,156.15704345703125,175.0557403564453,Profit Target,4.580398386225858
UPS-AAPL,Long,2023-08-31,154.9314727783203,186.25881958007812,0.6454466494556752,-0.39235181957997495,2023-12-04,144.27285766601562,188.05287170410156,Profit Target,-7.583467027356601
UPS-AAPL,Long,2024-02-05,128.6907958984375,186.31558227539062,0.7770563489165129,-0.39223228611681454,2024-02-15,136.0006866455078,182.7562713623047,Profit Target,7.076273671337281
UPS-AAPL,Short,2024-03-05,140.033447265625,169.09873962402344,-0.714115105731227,0.43216754268864915,2024-03-26,134.541015625,168.69122314453125,Profit Target,3.7461130062191907
UPS-AAPL,Long,2024-05-20,139.63380432128906,190.15072631835938,0.7161589594014495,-0.38432136542413,2024-09-04,123.52323150634766,220.076416015625,Profit Target,-23.03881298822166
UPS-AAPL,Long,2024-10-21,125.83235168457031,235.6516571044922,0.794708186418343,-0.31011446162951184,2024-10-24,132.55848693847656,229.76235961914062,Profit Target,7.171671068282154
UPS-AAPL,Short,2024-11-01,128.43849182128906,222.12918090820312,-0.77858279540639,0.328993185299965,2024-11-08,126.89588165283203,226.41383361816406,Profit Target,2.610671280133774
UPS-AAPL,Long,2024-12-02,129.99014282226562,239.013427734375,0.7692891001491484,-0.3057526410452448,2025-01-13,121.25106048583984,233.83592224121094,Profit Target,-5.1398448081571315
PG-LIN,Long,2023-06-05,138.89788818359375,353.8439025878906,0.7199533506788891,-0.10287060494522668,2023-07-05,144.89390563964844,358.1644592285156,Profit Target,3.8723945828944704
PG-LIN,Long,2023-10-04,139.80178833007812,370.4739074707031,0.7152984321194492,-0.0982529014361819,2023-10-18,143.69021606445312,363.4188537597656,Profit Target,3.474565758695931
PG-LIN,Long,2023-11-17,145.5994873046875,399.11492919921875,0.6868156052688281,-0.09120214166989227,2024-01-09,143.89358520507812,399.1805419921875,Profit Target,-1.1776242103122707
PG-LIN,Short,2024-02-05,153.4439239501953,393.2324523925781,-0.6517038760847768,0.0925664606110805,2024-02-14,150.94163513183594,410.6743469238281,Profit Target,3.2452857651179743
PG-LIN,Short,2024-05-02,159.93035888671875,413.0896911621094,-0.6252721540557012,0.0881167869694226,2024-06-20,163.66896057128906,437.1405944824219,Profit Target,-0.2183552041693977
PG-LIN,Long,2024-07-30,158.79075622558594,445.2586364746094,0.6297595803242797,-0.08175054526420593,2024-08-05,165.0363311767578,437.99981689453125,Profit Target,4.526623118779715
PG-LIN,Long,2024-08-23,166.1263427734375,459.9639587402344,0.6019514926442439,-0.07913693154370215,2024-09-04,172.73526000976562,467.64593505859375,Profit Target,3.370319561143639
PG-LIN,Short,2024-11-18,168.66378784179688,444.3097229003906,-0.5928954951124299,0.0819251401427393,2025-01-08,160.11947631835938,417.2827453613281,Profit Target,2.851694888560954
PG-LIN,Long,2025-02-14,161.8809356689453,454.0325622558594,0.6177379664057852,-0.08017076161793815,2025-02-27,170.90469360351562,457.291259765625,Profit Target,5.313065614599145
PG-LIN,Long,2025-05-05,158.8300018310547,451.05145263671875,0.6296039718388258,-0.08070062983416039,2025-05-21,165.42999267578125,454.0518798828125,Profit Target,3.91324408140839
CAT-TJX,Long,2023-04-04,208.94842529296875,76.18009948730469,0.4785869999249287,-4.3332830983610435,2023-06-02,218.95159912109375,75.98863983154297,Profit Target,5.617037842460188
CAT-TJX,Short,2023-06-07,227.56936645507812,75.98863983154297,-0.43942645514083223,4.344201163116111,2023-06-23,226.4969940185547,79.83136749267578,Profit Target,17.16481079340385
CAT-TJX,Short,2023-08-01,280.2513427734375,84.02432250976562,-0.35682255439126515,3.9287426268915593,2023-08-16,266.5227355957031,87.21994018554688,Profit Target,17.453436063483363
CAT-TJX,Long,2023-10-18,251.67764282226562,88.33325958251953,0.3973336641213691,-3.7370967526837013,2023-11-17,246.97618103027344,87.08039093017578,Profit Target,2.81404233167416
CAT-TJX,Short,2023-12-15,278.8594970703125,87.521484375,-0.3586035299159479,3.7717588989394946,2024-01-16,280.31365966796875,93.9711685180664,Profit Target,23.805185721368392
CAT-TJX,Short,2024-03-01,330.11474609375,96.88822937011719,-0.3029249713419369,3.4071211713320313,2024-04-25,332.5973205566406,94.8326416015625,Profit Target,-7.75567040379921
CAT-TJX,Long,2024-05-29,332.70556640625,100.1491928100586,0.3005660562886256,-3.2961817092812877,2024-07-16,354.8163757324219,113.55638122558594,Profit Target,-37.54677046763195
CAT-TJX,Long,2024-08-21,338.8623352050781,119.10957336425781,0.2951050902115763,-2.7714811514794575,2024-08-29,347.428466796875,116.27622985839844,Profit Target,10.380467158317433
CAT-TJX,Long,2024-09-05,329.56500244140625,116.91026306152344,0.303430277059771,-2.8236181229536834,2024-09-17,349.4539489746094,116.74183654785156,Profit Target,6.510480713386609
CAT-TJX,Short,2024-09-24,381.3077697753906,116.5536117553711,-0.26225534312847865,2.8322583278899365,2024-11-12,389.6981201171875,118.73310852050781,Profit Target,3.972483655811561
CAT-TJX,Long,2024-12-10,385.1170654296875,126.40594482421875,0.2596613055524475,-2.6115064287431577,2025-01-14,368.43878173828125,118.49563598632812,Profit Target,16.327117465810545
CAT-TJX,Long,2025-02-13,352.005126953125,125.44248962402344,0.28408677130806836,-2.631563982261565,2025-03-07,348.62139892578125,118.8837890625,Profit Target,16.298367797871073
CAT-TJX,Long,2025-04-03,304.29486083984375,125.02384948730469,0.3286286193726812,-2.640375727459268,2025-05-09,325.6199951171875,127.68521118164062,Profit Target,-0.018945384213965966
NEE-HD,Long,2023-05-30,68.45843505859375,276.21282958984375,1.4607403735479747,-0.09346859830733838,2023-09-15,65.09205627441406,307.745849609375,Profit Target,-7.864752584329439
NEE-HD,Long,2023-10-02,49.45441436767578,287.0921936035156,2.0220641833211483,-0.08992660403689313,2023-10-24,52.270896911621094,271.2740478515625,Profit Target,7.1175806046948
NEE-HD,Long,2023-12-15,58.79570388793945,341.2369384765625,1.7008045382124022,-0.07565777061395024,2024-03-15,57.9638786315918,361.9254150390625,Profit Target,-2.980016185113499
NEE-HD,Short,2024-04-04,61.485321044921875,346.84637451171875,-1.6264044539498925,0.07443418156701574,2024-06-12,70.16645812988281,336.0364074707031,Profit Target,-14.92367106979447
NEE-HD,Long,2024-07-17,68.84587097167969,363.13299560546875,1.452519934581637,-0.0710957867467266,2024-07-24,73.2251968383789,342.06109619140625,Profit Target,7.85918138850028
NEE-HD,Long,2024-10-07,78.46876525878906,400.8714294433594,1.2743924244277476,-0.06440275888984058,2024-10-23,83.0328369140625,392.5997619628906,Profit Target,6.349136548387444
NEE-HD,Long,2024-11-07,72.9273910522461,392.40325927734375,1.3712268950956816,-0.06579258812429804,2024-12-19,68.64437103271484,380.22906494140625,Profit Target,-5.072020489324983
NEE-HD,Short,2025-03-07,72.24542236328125,372.1113586425781,-1.3841707436791872,0.069380376106886,2025-04-11,65.28176879882812,351.67449951171875,Profit Target,8.220968560090835
T-PG,Long,2023-04-20,15.656478881835938,143.5709686279297,6.387132174145252,-0.006981575067795615,2023-08-29,13.335367202758789,147.36795043945312,Profit Target,-14.85175599876617
T-PG,Short,2023-10-19,14.040983200073242,142.88157653808594,-7.1220083789772195,0.007015260604748699,2024-01-11,15.17710018157959,145.0597381591797,Profit Target,-8.07615429037528
T-PG,Short,2024-01-31,16.54238510131836,152.40614318847656,-6.04507750167359,0.0065768444372510575,2024-02-08,15.728825569152832,153.8609619140625,Profit Target,4.9275985406085
T-PG,Long,2024-04-16,15.292638778686523,151.25198364257812,6.539093837707775,-0.006627030409073285,2024-04-24,15.976957321166992,158.71995544433594,Profit Target,4.425332687938849
T-PG,Short,2024-05-31,17.31708335876465,160.61366271972656,-5.774644489967606,0.006240761078845078,2024-12-18,21.965103149414062,167.01419067382812,Profit Target,-26.800717707594007
T-PG,Short,2025-01-27,23.886470794677734,168.6090087890625,-4.186470276818018,0.005944827635432027,2025-04-08,26.112838745117188,157.4088134765625,Profit Target,-9.387206480391008
T-BLK,Long,2023-04-20,15.656478881835938,658.7633056640625,6.387132174145252,-0.00010333040460998876,2023-08-29,13.335367202758789,658.509521484375,Profit Target,-14.825220861595993
T-BLK,Short,2023-10-19,14.040983200073242,597.5180053710938,-7.1220083789772195,0.00011392172002282281,2024-01-11,15.17710018157959,765.8655395507812,Profit Target,-8.072256221131164
T-BLK,Short,2024-01-30,16.392765045166016,755.3526000976562,-6.100252137115119,9.011722327781856e-05,2024-02-08,15.728825569152832,766.4356079101562,Profit Target,4.051196977354143
T-BLK,Long,2024-04-16,15.292638778686523,728.8695678710938,6.539093837707775,-9.339157774868169e-05,2024-04-24,15.976957321166992,741.6353149414062,Profit Target,4.473630950903163
T-BLK,Short,2024-05-31,17.31708335876465,750.6092529296875,-5.774644489967606,9.068670370208943e-05,2024-12-18,21.965103149414062,1009.4147338867188,Profit Target,-26.817191657366
T-BLK,Short,2025-01-27,23.886470794677734,1018.951904296875,-4.186470276818018,6.680421188618612e-05,2025-04-08,26.112838745117188,811.4226684570312,Profit Target,-9.334487076818645
AVGO-DE,Short,2023-05-18,65.51835632324219,360.0328063964844,-1.5262898157371156,0.03502813770273222,2023-08-04,85.66455078125,413.3130187988281,Profit Target,-28.882624810256726
AVGO-DE,Short,2023-08-31,89.67158508300781,400.5444030761719,-1.1151804655558537,0.031485345003207765,2023-09-01,84.77742767333984,408.3030700683594,Profit Target,5.70215304563118
AVGO-DE,Short,2023-10-12,88.47086334228516,373.9227600097656,-1.1303156341213687,0.03372696200581056,2023-10-26,80.76776123046875,361.4613037109375,Profit Target,8.28664968509177
AVGO-DE,Short,2023-11-07,87.71080780029297,361.1678161621094,-1.1401103525085308,0.034918057909945774,2024-03-15,121.25481414794922,376.3860778808594,Profit Target,-37.71247675759074
AVGO-DE,Short,2024-05-28,139.21144104003906,363.8662109375,-0.7183317639190206,0.03465910914746458,2024-07-17,154.22244262695312,380.9804382324219,Profit Target,-10.189715376329982
AVGO-DE,Long,2024-09-06,135.456298828125,377.44891357421875,0.73824547743539,-0.03341188242015537,2024-09-11,156.4866485595703,384.4031677246094,Profit Target,15.293205856131342
AVGO-DE,Short,2024-10-08,179.2812957763672,397.3646240234375,-0.5577826708969045,0.03173729606894584,2024-10-24,169.97650146484375,408.0760498046875,Profit Target,5.530004714567937
AVGO-DE,Short,2024-12-13,222.99803161621094,437.2321472167969,-0.44843445152961814,0.0288434388922094,2025-01-27,201.04701232910156,482.4643859863281,Profit Target,11.148246609437761
AVGO-DE,Long,2025-03-06,178.48851013183594,481.1589660644531,0.5602601530268675,-0.02621021244415064,2025-04-24,187.7081756591797,464.510009765625,Profit Target,5.601783900771809
COST-TMO,Short,2023-04-25,485.1257019042969,544.7593383789062,-0.20613214184996426,0.14590999166172539,2023-05-03,472.48583984375,546.785888671875,Profit Target,2.901175775577767
COST-TMO,Short,2023-05-09,483.8381042480469,531.1299438476562,-0.20668070398344132,0.1496542069247599,2023-07-24,544.8408203125,568.1245727539062,Profit Target,-7.071682451662515
COST-TMO,Short,2023-09-08,533.5382690429688,515.19091796875,-0.18742797996360117,0.15428422308743928,2024-03-08,720.6712646484375,594.8683471679688,Profit Target,-22.780989089264544
COST-TMO,Short,2024-05-07,767.3425903320312,570.6168212890625,-0.1303198874400152,0.13929808508089422,2024-07-24,826.546630859375,572.8597412109375,Profit Target,-7.4030294474105585
COST-TMO,Short,2024-10-29,883.6839599609375,546.3344116210938,-0.11316262887064332,0.14548933552375257,2024-12-27,937.44140625,525.081298828125,Profit Target,-9.17543520150311
COST-TMO,Short,2025-02-06,1048.4638671875,571.6336669921875,-0.09537763115122849,0.13905029586299641,2025-03-07,963.0552368164062,530.7107543945312,Profit Target,2.455729740386147
PYPL-DIS,Long,2023-05-09,65.90499877929688,100.93311309814453,1.517335586863156,-2.2740099016087174,2023-05-11,64.18000030517578,91.18354034423828,Profit Target,19.553223406768808
PYPL-DIS,Short,2023-06-20,68.88999938964844,88.65479278564453,-1.4515895033528803,2.5889508211961982,2023-08-04,62.75,85.24688720703125,Profit Target,0.08985871829680292
PYPL-DIS,Long,2023-11-09,54.279998779296875,89.23758697509766,1.842299230819831,-2.5720428618203575,2023-12-20,61.7400016784668,90.45006561279297,Profit Target,10.625010577860555
PYPL-DIS,Long,2024-02-06,63.709999084472656,98.39802551269531,1.5696123283161671,-2.3325965880866195,2024-04-12,64.58999633789062,112.98578643798828,Profit Target,-32.646106824312476
PYPL-DIS,Short,2024-05-07,65.91999816894531,104.44322204589844,-1.5169903333994579,2.1975853874414892,2024-06-27,58.369998931884766,101.25215148925781,Profit Target,4.440625834225916
PYPL-DIS,Short,2024-07-23,59.709999084472656,90.538818359375,-1.674761372187068,2.5350772491234626,2024-09-17,71.7699966430664,92.45034790039062,Profit Target,-15.351743009347032
PYPL-DIS,Long,2024-11-06,81.41000366210938,98.45374298095703,1.2283502702573021,-2.3312765125625305,2025-01-06,89.52999877929688,111.05000305175781,Profit Target,-19.39116705250186
PYPL-DIS,Long,2025-02-26,72.05000305175781,111.83000183105469,1.3879249932600841,-2.0524268517148117,2025-03-06,68.08000183105469,105.43000030517578,Profit Target,7.625471065242724
PYPL-DIS,Short,2025-04-03,61.709999084472656,88.83999633789062,-1.6204829279467903,2.5835536700431034,2025-05-07,68.69000244140625,102.08999633789062,Profit Target,22.92110985114894
HON-TMO,Short,2023-05-18,189.92715454101562,520.083251953125,-0.5265176548433181,0.042616471888090444,2023-07-21,199.84263610839844,558.8500366210938,Profit Target,-3.5685725125064005
HON-TMO,Long,2023-07-27,188.1643829345703,556.69287109375,0.531450205615016,-0.039813898178326874,2023-09-11,179.36886596679688,511.8806457519531,Profit Target,-2.8902299241110154
HON-TMO,Short,2023-11-01,177.23043823242188,438.7898864746094,-0.5642371648873257,0.05051190551450766,2024-01-03,198.17510986328125,526.3939208984375,Profit Target,-7.3927154309860095
